ID,Model,Source,Price,Rating,Reviews,URL,Scraped_At
15,iPhone 17,Flipkart,140093.6,3.9,Good sound quality but size could be better.,https://www.flipkart.com/iphone-17/p/itmlOffJHWG,6/15/2025 20:34
16,iPhone 15,Flipkart,73904.72,4.9,Perfect for business.,https://www.flipkart.com/iphone-15/p/itmrNNAUqsk,5/15/2025 17:57
17,iPhone 16,Amazon,100656.12,4.4,Good phone with satisfying camera quality.,https://www.amazon.in/Apple-iPhone-16/dp/IM92202773,6/27/2025 10:23
18,iPhone 17,Amazon,120388.5,3.8,"Decent for business, capabilities is good.",https://www.amazon.in/Apple-iPhone-17/dp/mQ19180215,6/24/2025 5:15
19,iPhone 15,Amazon,139857.21,5,Incredible capabilities quality.,https://www.amazon.in/Apple-iPhone-15/dp/tM77924035,8/9/2025 14:05
20,iPhone 16,Amazon,114741.51,4.3,Great performance and good for photography.,https://www.amazon.in/dp/CT61439187,7/27/2025 13:55
21,iPhone 17,Amazon,124450.54,4.1,Good phone with impressive speed.,https://www.amazon.in/Apple-iPhone-17/dp/IG25841380,9/4/2025 16:14
22,iPhone 15,Amazon,127680.69,4.3,Good phone with reliable camera quality.,https://www.amazon.in/dp/qs63718915,9/26/2025 19:11
23,iPhone 16,Amazon,116891.43,4.2,Satisfied with the capabilities.,https://www.amazon.in/dp/TI27916131,9/9/2025 3:47
24,iPhone 17,Amazon,118438.03,4.1,Satisfied with the durability.,https://www.amazon.in/Apple-iPhone-17/dp/gO43684480,8/23/2025 18:25
25,iPhone 15,Amazon,97163.43,4,Great screen clarity and good for multimedia.,https://www.amazon.in/dp/EG12226696,6/8/2025 13:49
26,iPhone 16,Flipkart,66031.05,4.4,Satisfied with the screen clarity.,https://www.flipkart.com/apple-iphone-16-smartphone/p/itmUhcncsFU,8/3/2025 23:21
27,iPhone 17,Amazon,105530.9,4.1,Great display and good for business.,https://www.amazon.in/dp/uh53284049,8/7/2025 23:15
28,iPhone 15,Amazon,133131.66,4.1,Great screen clarity and good for business.,https://www.amazon.in/dp/wO76912040,10/5/2025 8:10
29,iPhone 16,Amazon,113053.35,4.5,Perfect for multimedia.,https://www.amazon.in/dp/OR36272149,6/30/2025 10:56
30,iPhone 17,Amazon,113030.35,4,Great sound quality and good for multimedia.,https://www.amazon.in/Apple-iPhone-17/dp/tn42492879,8/21/2025 4:45
31,iPhone 15,Flipkart,102059.76,4.2,"Nice connectivity, works well for business.",https://www.flipkart.com/apple-iphone-15/p/itmYNLTqQId,6/4/2025 23:41
32,iPhone 16,Amazon,106385.77,4.1,Great connectivity and good for gaming.,https://www.amazon.in/gp/product/RK51875142,7/28/2025 2:16
33,iPhone 17,Amazon,108457.17,3.9,"fantastic phone overall, though weight is average.",https://www.amazon.in/dp/VJ00690819,8/16/2025 20:07
34,iPhone 15,Amazon,148586.55,4.4,Satisfied with the design.,https://www.amazon.in/Apple-iPhone-15/dp/Bi61321522,6/4/2025 14:16
35,iPhone 16,Amazon,82578.63,4.2,Great speed and good for work.,https://www.amazon.in/Apple-iPhone-16/dp/jX37312193,4/26/2025 10:59
36,iPhone 17,Amazon,81533.28,4.1,Satisfied with the display.,https://www.amazon.in/Apple-iPhone-17/dp/YX23905769,5/4/2025 6:41
37,iPhone 15,Amazon,131960.84,3.9,Good screen clarity but battery life could be better.,https://www.amazon.in/gp/product/Uz26009598,5/10/2025 5:33
38,iPhone 16,Amazon,76178.93,4.2,"Nice speed, works well for travel.",https://www.amazon.in/dp/dT61866190,9/7/2025 15:25
39,iPhone 17,Amazon,86024.57,3.6,"Decent for daily use, features is good.",https://www.amazon.in/Apple-iPhone-17/dp/Xh80088648,5/9/2025 23:10
40,iPhone 15,Amazon,111833.87,4.6,Incredible capabilities quality.,https://www.amazon.in/dp/ch17772256,9/6/2025 16:00
41,iPhone 16,Amazon,125531.27,4.5,superb performance.,https://www.amazon.in/dp/ab14799078,5/13/2025 18:21
42,iPhone 17,Flipkart,114444.17,3.8,Good design but storage capacity could be better.,https://www.flipkart.com/apple-iphone-17/p/itmPPkLxZDv,9/21/2025 7:14
43,iPhone 15,Amazon,141658.03,4.6,exceptional durability.,https://www.amazon.in/Apple-iPhone-15/dp/JF70731093,8/30/2025 20:02
44,iPhone 16,Amazon,80664.32,4.4,Great storage and good for business.,https://www.amazon.in/dp/Xa91693758,7/14/2025 21:28
45,iPhone 17,Amazon,101029.04,3.8,Good build quality but size could be better.,https://www.amazon.in/dp/UQ37389012,4/22/2025 22:04
46,iPhone 15,Amazon,95125.37,4.4,Satisfied with the functionality.,https://www.amazon.in/gp/product/rK49245355,5/22/2025 9:37
47,iPhone 16,Flipkart,96948.04,4.1,Great capabilities and good for professional tasks.,https://www.flipkart.com/iphone-16/p/itmGUYjkrsf,6/6/2025 16:42
48,iPhone 17,Amazon,90707.59,3.8,Good overall experience but battery life could be better.,https://www.amazon.in/gp/product/zX75186490,5/12/2025 4:18
49,iPhone 15,Amazon,79277.67,4.8,Perfect for entertainment.,https://www.amazon.in/Apple-iPhone-15/dp/mk24064612,6/18/2025 5:07
50,iPhone 16,Amazon,91613.64,4.1,Satisfied with the performance.,https://www.amazon.in/dp/bZ36342544,9/22/2025 0:23
51,iPhone 17,Flipkart,116815.28,3.9,Good responsiveness but charging speed could be better.,https://www.flipkart.com/iphone-17/p/itmNebFCYRp,6/6/2025 12:17
52,iPhone 15,Amazon,87443.78,4.7,good performance.,https://www.amazon.in/Apple-iPhone-15/dp/Pa33952710,9/10/2025 9:12
53,iPhone 16,Flipkart,87985.9,4.5,Highly recommend for social media.,https://www.flipkart.com/iphone-16/p/itmMAENfwlE,7/19/2025 18:34
54,iPhone 17,Amazon,205643.48,4.1,Great user interface and good for outdoor activities.,https://www.amazon.in/dp/Yn34956264,5/3/2025 17:44
55,iPhone 15,Amazon,114283.26,4.8,outstanding screen clarity.,https://www.amazon.in/gp/product/iI64105533,9/11/2025 8:30
56,iPhone 16,Amazon,120832.86,4.5,Incredible durability quality.,https://www.amazon.in/dp/Bu90950672,8/1/2025 22:16
57,iPhone 17,Amazon,136057.03,3.7,"good phone overall, though battery life is average.",https://www.amazon.in/gp/product/pS25355880,8/5/2025 2:40
58,iPhone 15,Amazon,154177.7,4.5,Best phone for gaming.,https://www.amazon.in/dp/Wt07335752,7/13/2025 22:39
59,iPhone 16,Flipkart,119394.35,4.3,Great battery life and good for multimedia.,https://www.flipkart.com/apple-iphone-16/p/itmjqfrYyEh,6/9/2025 0:20
60,iPhone 17,Amazon,143948.48,3.9,"exceptional phone overall, though price point is average.",https://www.amazon.in/gp/product/xp90611124,9/15/2025 8:37
61,iPhone 15,Flipkart,76155.16,4.8,Best phone for professional tasks.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmqrXFRsQR,6/11/2025 12:22
62,iPhone 16,Flipkart,84277,4.3,Good phone with exceptional battery life.,https://www.flipkart.com/apple-iphone-16/p/itmARIsHkwQ,8/26/2025 18:49
63,iPhone 17,Amazon,134235.88,4.2,"Nice connectivity, works well for work.",https://www.amazon.in/Apple-iPhone-17/dp/Bb09249899,8/16/2025 15:26
64,iPhone 15,Amazon,123678.82,4,Great camera quality and good for outdoor activities.,https://www.amazon.in/gp/product/Jv57074880,6/24/2025 23:57
65,iPhone 16,Flipkart,84304.35,4.2,Satisfied with the sound quality.,https://www.flipkart.com/iphone-16/p/itmNNLcMurO,5/13/2025 23:35
66,iPhone 17,Amazon,166976.79,4.2,Satisfied with the display.,https://www.amazon.in/dp/Cy76480290,8/7/2025 4:51
67,iPhone 15,Amazon,75874.2,4.3,Good phone with outstanding durability.,https://www.amazon.in/Apple-iPhone-15/dp/No24267125,10/13/2025 21:03
68,iPhone 16,Flipkart,64955.52,4,Satisfied with the design.,https://www.flipkart.com/apple-iphone-16/p/itmHUVQGLuc,9/22/2025 3:10
69,iPhone 17,Amazon,137772.95,4,Satisfied with the display.,https://www.amazon.in/dp/hC39524011,6/16/2025 19:23
70,iPhone 15,Amazon,166258.9,5,Absolutely love the features.,https://www.amazon.in/gp/product/pI49364505,7/30/2025 1:45
71,iPhone 16,Amazon,111961.09,4.5,Best phone for social media.,https://www.amazon.in/Apple-iPhone-16/dp/PH80986419,6/24/2025 4:06
72,iPhone 17,Flipkart,121617.07,4.2,Great overall experience and good for professional tasks.,https://www.flipkart.com/apple-iphone-17/p/itmwMIaJZaY,8/23/2025 16:58
73,iPhone 15,Flipkart,129810.21,4.5,Absolutely love the design.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmeoDSVlUJ,4/21/2025 5:52
74,iPhone 16,Amazon,83687.59,4.5,Best phone for family use.,https://www.amazon.in/dp/tM64333703,10/13/2025 16:45
75,iPhone 17,Flipkart,84540.77,4.1,Good phone with wonderful display.,https://www.flipkart.com/iphone-17/p/itmLwGZNDkY,6/28/2025 13:30
76,iPhone 15,Flipkart,82483.79,4.2,Satisfied with the sound quality.,https://www.flipkart.com/iphone-15/p/itmFnMlNUDH,9/1/2025 0:31
77,iPhone 16,Amazon,79204.92,4.2,Satisfied with the battery life.,https://www.amazon.in/dp/VJ15687335,7/9/2025 6:47
78,iPhone 17,Amazon,96872.46,3.9,"solid phone overall, though signal strength is average.",https://www.amazon.in/gp/product/oF92707326,9/16/2025 0:33
79,iPhone 15,Amazon,113123.42,4.5,Highly recommend for gaming.,https://www.amazon.in/gp/product/QS74566727,10/6/2025 1:47
80,iPhone 16,Amazon,74844.78,4.6,Highly recommend for multimedia.,https://www.amazon.in/gp/product/SK40586202,9/17/2025 7:42
81,iPhone 17,Flipkart,149123.54,4.3,Great design and good for gaming.,https://www.flipkart.com/apple-iphone-17-smartphone/p/itmIzpzGaSv,6/27/2025 2:35
82,iPhone 15,Flipkart,99475.52,3.9,"incredible phone overall, though storage capacity is average.",https://www.flipkart.com/apple-iphone-15-smartphone/p/itmeuGScyjD,9/2/2025 1:46
83,iPhone 16,Amazon,98112.83,4.6,Incredible durability quality.,https://www.amazon.in/gp/product/nl16082233,5/29/2025 19:49
84,iPhone 17,Amazon,139769.22,3.9,Good sound quality but camera in low light could be better.,https://www.amazon.in/Apple-iPhone-17/dp/Sl97634762,7/6/2025 6:07
85,iPhone 15,Amazon,169398.09,4.6,great sound quality.,https://www.amazon.in/gp/product/CB21475515,10/15/2025 8:03
86,iPhone 16,Amazon,78449.73,4.4,"Nice display, works well for professional tasks.",https://www.amazon.in/gp/product/GU19532534,8/28/2025 5:45
87,iPhone 17,Flipkart,111889.45,4,Great overall experience and good for photography.,https://www.flipkart.com/apple-iphone-17/p/itmfZXfawol,6/2/2025 22:09
88,iPhone 15,Amazon,107173.23,4.3,Good phone with satisfying functionality.,https://www.amazon.in/dp/lE12728472,9/6/2025 1:43
89,iPhone 16,Amazon,106105.47,4.5,Incredible durability quality.,https://www.amazon.in/gp/product/nH07606132,5/24/2025 19:15
90,iPhone 17,Amazon,110063.74,3.8,"Decent for social media, durability is good.",https://www.amazon.in/gp/product/xZ85683512,10/14/2025 10:55
91,iPhone 15,Flipkart,68831.3,4.5,Incredible overall experience quality.,https://www.flipkart.com/iphone-15/p/itmoTOzIpdm,9/19/2025 4:52
92,iPhone 16,Amazon,145983.2,4.1,Satisfied with the durability.,https://www.amazon.in/Apple-iPhone-16/dp/tJ39861441,7/21/2025 9:49
93,iPhone 17,Amazon,147802.37,4,Satisfied with the connectivity.,https://www.amazon.in/gp/product/pt41919913,6/17/2025 17:58
94,iPhone 15,Amazon,110825.3,4.4,Satisfied with the performance.,https://www.amazon.in/gp/product/nL16333789,7/28/2025 2:38
95,iPhone 16,Amazon,73516.25,4.6,Highly recommend for work.,https://www.amazon.in/gp/product/qk54188418,4/22/2025 17:20
96,iPhone 17,Flipkart,113863.77,4.1,Satisfied with the build quality.,https://www.flipkart.com/apple-iphone-17-smartphone/p/itmTFLgqdiC,10/14/2025 0:05
97,iPhone 15,Amazon,145401.13,4.9,Best phone for business.,https://www.amazon.in/dp/Xp78489286,8/29/2025 5:31
98,iPhone 16,Amazon,87746.37,4.6,Best phone for personal use.,https://www.amazon.in/Apple-iPhone-16/dp/dV89365285,6/29/2025 16:50
99,iPhone 17,Flipkart,176703.86,4.2,Good phone with reliable responsiveness.,https://www.flipkart.com/apple-iphone-17/p/itmBEvMApym,6/4/2025 12:54
100,iPhone 15,Amazon,119579.38,4.3,Great durability and good for multimedia.,https://www.amazon.in/Apple-iPhone-15/dp/cX59714982,4/22/2025 14:13
101,iPhone 16,Amazon,98006.48,4,Great camera quality and good for outdoor activities.,https://www.amazon.in/dp/fC87433726,10/15/2025 14:06
102,iPhone 17,Flipkart,115523.84,4.2,Good phone with solid performance.,https://www.flipkart.com/iphone-17/p/itmSwKkiyPv,4/29/2025 14:02
103,iPhone 15,Flipkart,117016.24,4.2,"Nice display, works well for daily use.",https://www.flipkart.com/apple-iphone-15/p/itmqAmYhmlw,8/8/2025 11:47
104,iPhone 16,Amazon,90392.41,4.1,Great display and good for multimedia.,https://www.amazon.in/gp/product/vq44178051,10/16/2025 7:42
105,iPhone 17,Amazon,152465.28,3.9,Good speed but weight could be better.,https://www.amazon.in/Apple-iPhone-17/dp/Wy10081203,9/6/2025 15:31
106,iPhone 15,Amazon,78737.37,4.6,Incredible battery life quality.,https://www.amazon.in/Apple-iPhone-15/dp/OI90637157,5/6/2025 10:12
107,iPhone 16,Amazon,86104.15,4.3,Satisfied with the storage.,https://www.amazon.in/dp/ex07298775,10/13/2025 13:31
108,iPhone 17,Amazon,131435.51,3.8,"Decent for professional tasks, sound quality is good.",https://www.amazon.in/gp/product/WH46849701,4/30/2025 9:57
109,iPhone 15,Flipkart,84887.66,4.9,Best phone for work.,https://www.flipkart.com/apple-iphone-15/p/itmvGjGChyd,8/10/2025 8:06
110,iPhone 16,Flipkart,107880.6,4.4,Good phone with superb camera quality.,https://www.flipkart.com/apple-iphone-16-smartphone/p/itmQGhWTtIH,8/15/2025 17:26
111,iPhone 17,Amazon,115942.57,4.1,Great build quality and good for daily use.,https://www.amazon.in/Apple-iPhone-17/dp/JM98822844,7/15/2025 10:16
112,iPhone 15,Flipkart,66526.88,4.7,Absolutely love the performance.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmgknJfMQj,8/20/2025 1:37
113,iPhone 16,Amazon,124412.77,4.2,"Nice functionality, works well for business.",https://www.amazon.in/gp/product/Hr02540862,4/22/2025 22:02
114,iPhone 17,Amazon,102952.16,4.1,Great design and good for work.,https://www.amazon.in/Apple-iPhone-17/dp/yw46719187,9/25/2025 17:47
115,iPhone 15,Amazon,142254.53,4.6,exceptional design.,https://www.amazon.in/Apple-iPhone-15/dp/bv14551673,6/10/2025 5:43
116,iPhone 16,Flipkart,69595.62,4.3,Great durability and good for work.,https://www.flipkart.com/iphone-16/p/itmaMKJSVqh,9/29/2025 21:20
117,iPhone 17,Flipkart,93095.79,4.3,Great functionality and good for multimedia.,https://www.flipkart.com/apple-iphone-17-smartphone/p/itmFWYefhDS,9/27/2025 16:22
118,iPhone 15,Amazon,92304.39,4.1,"Nice durability, works well for business.",https://www.amazon.in/gp/product/LA81254735,8/1/2025 12:12
119,iPhone 16,Amazon,101754.82,4,Good phone with decent capabilities.,https://www.amazon.in/dp/VL32247524,7/19/2025 8:55
120,iPhone 17,Flipkart,115024.91,3.9,"Decent for family use, functionality is good.",https://www.flipkart.com/apple-iphone-17-smartphone/p/itmXKEvXQaO,4/23/2025 21:50
121,iPhone 15,Flipkart,107048.2,4.4,Satisfied with the battery life.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmGpPiLeiq,10/6/2025 5:57
122,iPhone 16,Flipkart,100090.53,4.2,"Nice screen clarity, works well for entertainment.",https://www.flipkart.com/iphone-16/p/itmlgcSmHKl,5/20/2025 23:26
123,iPhone 17,Flipkart,115899.52,3.8,Good speed but storage capacity could be better.,https://www.flipkart.com/apple-iphone-17/p/itmEJdkAvGo,8/31/2025 18:18
124,iPhone 15,Amazon,90756.38,4.8,Absolutely love the user interface.,https://www.amazon.in/dp/pi13009156,5/7/2025 22:57
125,iPhone 16,Amazon,70974.71,4.3,Good phone with good capabilities.,https://www.amazon.in/gp/product/jo02063153,6/23/2025 10:27
126,iPhone 17,Flipkart,112117.79,4.2,Good phone with great screen clarity.,https://www.flipkart.com/apple-iphone-17/p/itmmRQyZVMk,5/22/2025 23:11
127,iPhone 15,Amazon,132812.27,4.3,Good phone with nice user interface.,https://www.amazon.in/Apple-iPhone-15/dp/jM13453339,6/3/2025 7:43
128,iPhone 16,Amazon,77152.95,4.5,Absolutely love the overall experience.,https://www.amazon.in/Apple-iPhone-16/dp/YN50251620,8/19/2025 13:03
129,iPhone 17,Amazon,103954.94,3.9,"Decent for work, battery life is good.",https://www.amazon.in/dp/Im16550430,9/20/2025 23:00
130,iPhone 15,Flipkart,105444.73,4.4,"Nice user interface, works well for gaming.",https://www.flipkart.com/apple-iphone-15-smartphone/p/itmGcNBBOmk,9/9/2025 14:03
131,iPhone 16,Flipkart,130094.73,4.2,Great overall experience and good for daily use.,https://www.flipkart.com/apple-iphone-16-smartphone/p/itmjbiqxMGO,4/19/2025 16:15
132,iPhone 17,Amazon,103795.18,3.8,Good camera quality but weight could be better.,https://www.amazon.in/gp/product/BL31709031,8/19/2025 12:20
133,iPhone 15,Flipkart,71652.22,4.3,Good phone with amazing durability.,https://www.flipkart.com/apple-iphone-15/p/itmBaiknlYd,9/18/2025 6:37
134,iPhone 16,Amazon,87622.8,4.1,Satisfied with the display.,https://www.amazon.in/gp/product/vY33141329,9/8/2025 18:05
135,iPhone 17,Amazon,98830.99,4.2,Good phone with brilliant design.,https://www.amazon.in/Apple-iPhone-17/dp/sJ69167744,8/24/2025 0:34
136,iPhone 15,Flipkart,150074.49,4,Satisfied with the functionality.,https://www.flipkart.com/apple-iphone-15/p/itmJhytLgDg,6/8/2025 4:52
137,iPhone 16,Amazon,103811.79,4.3,Good phone with exceptional overall experience.,https://www.amazon.in/Apple-iPhone-16/dp/aC19864661,7/30/2025 4:16
138,iPhone 17,Flipkart,130122.29,4.1,Great functionality and good for work.,https://www.flipkart.com/apple-iphone-17/p/itmwrQfnjGb,9/12/2025 21:30
139,iPhone 15,Flipkart,122800.18,4.5,Perfect for professional tasks.,https://www.flipkart.com/apple-iphone-15/p/itmrKUInopz,9/5/2025 13:29
140,iPhone 16,Amazon,106300.99,4.3,Great durability and good for personal use.,https://www.amazon.in/dp/KN77406366,8/23/2025 1:20
141,iPhone 17,Amazon,126509.07,4.1,Satisfied with the build quality.,https://www.amazon.in/gp/product/LM14947737,5/27/2025 13:51
142,iPhone 15,Flipkart,82862.77,4.8,Incredible durability quality.,https://www.flipkart.com/apple-iphone-15/p/itmzLtTJDto,5/3/2025 3:18
143,iPhone 16,Flipkart,94272.07,4.5,Perfect for daily use.,https://www.flipkart.com/apple-iphone-16/p/itmOYLGKQko,5/24/2025 3:15
144,iPhone 17,Flipkart,93714.37,4,Good phone with reliable features.,https://www.flipkart.com/apple-iphone-17/p/itmTAaTBHST,8/5/2025 12:04
145,iPhone 15,Amazon,59703.93,4.6,decent camera quality.,https://www.amazon.in/gp/product/qg95995658,5/17/2025 9:54
146,iPhone 16,Amazon,103842.73,4.4,Great battery life and good for multimedia.,https://www.amazon.in/dp/kH13146307,10/11/2025 16:21
147,iPhone 17,Amazon,119373.07,3.9,"incredible phone overall, though signal strength is average.",https://www.amazon.in/Apple-iPhone-17/dp/Vr16151760,7/22/2025 20:10
148,iPhone 15,Flipkart,110155.18,5,remarkable responsiveness.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmxEujWXub,5/18/2025 12:18
149,iPhone 16,Amazon,127071.27,4.5,Perfect for professional tasks.,https://www.amazon.in/Apple-iPhone-16/dp/rs95968923,7/24/2025 23:14
150,iPhone 17,Flipkart,113798.7,3.9,"Decent for photography, responsiveness is good.",https://www.flipkart.com/apple-iphone-17-smartphone/p/itmxOrAayNx,7/13/2025 5:41
151,iPhone 15,Amazon,111138.84,4,Satisfied with the camera quality.,https://www.amazon.in/Apple-iPhone-15/dp/vw33250454,7/12/2025 20:48
152,iPhone 16,Flipkart,76392.09,4.1,Great durability and good for family use.,https://www.flipkart.com/apple-iphone-16-smartphone/p/itmRzWlwhGk,7/9/2025 3:55
153,iPhone 17,Flipkart,163795.3,3.9,"incredible phone overall, though price point is average.",https://www.flipkart.com/apple-iphone-17/p/itmLYeJvxXp,9/24/2025 22:53
154,iPhone 15,Flipkart,115821.12,4.1,Satisfied with the display.,https://www.flipkart.com/apple-iphone-15/p/itmLurGQsQo,6/19/2025 10:01
155,iPhone 16,Flipkart,99241.38,4.1,Satisfied with the connectivity.,https://www.flipkart.com/apple-iphone-16-smartphone/p/itmqDnZbKIK,6/2/2025 5:24
156,iPhone 17,Flipkart,117671.86,4.2,Satisfied with the functionality.,https://www.flipkart.com/apple-iphone-17/p/itmDBwTGOJB,9/12/2025 5:46
157,iPhone 15,Amazon,105017.97,4.4,"Nice camera quality, works well for entertainment.",https://www.amazon.in/Apple-iPhone-15/dp/uK34619598,8/2/2025 0:09
158,iPhone 16,Flipkart,100001.69,4.1,Good phone with satisfying connectivity.,https://www.flipkart.com/iphone-16/p/itmeEsFupAF,7/22/2025 12:53
159,iPhone 17,Amazon,105001.63,4.2,Good phone with impressive speed.,https://www.amazon.in/gp/product/OG59137250,8/5/2025 5:24
160,iPhone 15,Amazon,100226.22,4.5,solid functionality.,https://www.amazon.in/dp/uY27840817,9/20/2025 16:40
161,iPhone 16,Amazon,138961.43,4.1,"Nice battery life, works well for personal use.",https://www.amazon.in/gp/product/xC46690944,9/4/2025 11:15
162,iPhone 17,Amazon,130067.58,3.9,Good functionality but battery life could be better.,https://www.amazon.in/dp/Gp16555934,9/30/2025 3:51
163,iPhone 15,Amazon,113702.66,4.3,Great features and good for social media.,https://www.amazon.in/Apple-iPhone-15/dp/uz41555470,7/13/2025 21:48
164,iPhone 16,Flipkart,144879.27,4.5,Absolutely love the durability.,https://www.flipkart.com/apple-iphone-16-smartphone/p/itmpCojGpOs,7/12/2025 2:13
165,iPhone 17,Flipkart,135111.42,4.1,Good phone with amazing screen clarity.,https://www.flipkart.com/iphone-17/p/itmgtylFecu,8/14/2025 23:58
166,iPhone 15,Amazon,103162.76,4.8,Best phone for business.,https://www.amazon.in/Apple-iPhone-15/dp/VO56240725,5/14/2025 18:33
167,iPhone 16,Flipkart,99710.78,4.3,"Nice storage, works well for work.",https://www.flipkart.com/iphone-16/p/itmiBTKqlna,8/31/2025 7:45
168,iPhone 17,Flipkart,76765.85,4.3,Great connectivity and good for family use.,https://www.flipkart.com/apple-iphone-17/p/itmspEsLgVJ,8/31/2025 0:04
169,iPhone 15,Amazon,96900.08,5,Absolutely love the responsiveness.,https://www.amazon.in/gp/product/Th77943739,9/29/2025 17:15
170,iPhone 16,Amazon,67589.97,4.2,Great overall experience and good for multimedia.,https://www.amazon.in/gp/product/Qj24290098,10/6/2025 2:38
171,iPhone 17,Amazon,139937.63,4,"Nice capabilities, works well for entertainment.",https://www.amazon.in/dp/bI46627584,9/26/2025 16:42
172,iPhone 15,Flipkart,72059.22,4.7,Highly recommend for entertainment.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmHtELSbLh,7/15/2025 21:26
173,iPhone 16,Flipkart,77599.72,4,"Nice durability, works well for professional tasks.",https://www.flipkart.com/apple-iphone-16/p/itmCzDtbLaa,10/1/2025 13:45
174,iPhone 17,Flipkart,178055.34,4,Satisfied with the design.,https://www.flipkart.com/apple-iphone-17/p/itmVRgZhSzV,9/28/2025 5:39
175,iPhone 15,Flipkart,95052.72,4,Great capabilities and good for entertainment.,https://www.flipkart.com/apple-iphone-15-smartphone/p/itmDjfCjWbj,7/15/2025 18:33
176,iPhone 16,Flipkart,91693.06,4.6,Absolutely love the overall experience.,https://www.flipkart.com/apple-iphone-16/p/itmOtdeMUiA,9/30/2025 21:29
177,iPhone 17,Flipkart,135034.96,4,Good phone with reliable build quality.,https://www.flipkart.com/apple-iphone-17/p/itmaGQCNgzd,6/4/2025 9:19
178,iPhone 15,Amazon,102196.89,4.5,Incredible design quality.,https://www.amazon.in/Apple-iPhone-15/dp/wZ65526024,4/23/2025 14:27
179,iPhone 16,Flipkart,119797,4.5,Absolutely love the speed.,https://www.flipkart.com/apple-iphone-16/p/itmvVQuMCuV,5/26/2025 5:26
180,iPhone 17,Flipkart,109970.77,4.1,Good phone with solid durability.,https://www.flipkart.com/apple-iphone-17-smartphone/p/itmZyZWcYRn,9/21/2025 8:33
181,iPhone 15,Flipkart,125156.6,3.9,Good speed but signal strength could be better.,https://www.flipkart.com/apple-iphone-15/p/itmIKMMLdJE,6/28/2025 21:02
182,iPhone 16,Amazon,84560.86,4.2,Good phone with outstanding sound quality.,https://www.amazon.in/gp/product/MF47706322,6/13/2025 23:36
183,iPhone 17,Amazon,89254.17,3.6,"superb phone overall, though weight is average.",https://www.amazon.in/dp/ty03587776,8/8/2025 13:23
184,iPhone 15,Amazon,133238.35,4.5,outstanding features.,https://www.amazon.in/gp/product/JN94493558,6/28/2025 4:53
185,iPhone 16,Amazon,102541.42,4.4,Good phone with incredible performance.,https://www.amazon.in/gp/product/Ak36441148,10/10/2025 18:54
186,iPhone 17,Flipkart,91728.67,4.2,Satisfied with the performance.,https://www.flipkart.com/apple-iphone-17/p/itmvzKAsEOM,5/6/2025 10:17
187,iPhone 15,Amazon,85484.06,4.7,Best phone for daily use.,https://www.amazon.in/gp/product/nV20654624,10/1/2025 5:21
188,iPhone 16,Amazon,115886.41,4.5,Highly recommend for gaming.,https://www.amazon.in/Apple-iPhone-16/dp/sx76529831,5/10/2025 23:57
